文档ID,簇编号,原文片段（分词行）
1,0,科技 MP3 白领丽人 索爱 SA 上市 插式 MP3 兼顾 工作 娱乐 广受 商务人士 白领丽人 喜爱 市面上 插式 MP3 国产 线条 粗狂 做工 粗糙 待...
2,0,科技 光学 变焦镜头 三星 WB1000 外观 三星 WB1000 整体 轻薄 3.0 英寸 具有 万色 屏幕 有着 不错 显示 效果 机身 尺寸 mm 重量 ...
3,1,财经 市场 能否 延续 强势 华安 基金 关注 板块 晨报 李锐 行情 超过 市场 预期 延续 强势 华安 基金 公司 发布 策略 报告 指出 市场 有望 延续...
4,4,游戏 启示录 初章 图文 攻略 一序 上帝 创始 创造 七个 天使 称为 创世 七位 天使 灵质 总和 等于 上帝 第一件 作品 路西 灵质 最强 相当于 上帝...
5,3,体育 奥尼尔 看着 五冠 破灭 终场哨 响起 詹姆斯 德维恩 韦德 相拥 热火 主场 战胜 波士顿 总比分 淘汰 对手 晋级 决赛 主场 一片 欢腾 沙奎尔 奥...
6,3,体育 教父 不配 总冠军 夺冠 补充 一种 韦斯特 湖人队 教父 做客 著名 节目 湖人队 角度 谈及 湖人队 小牛队 横扫 看法 访谈 摘译 吃惊 韦斯特 吃...
7,1,财经 季报 业绩 隐忧 基金 重仓股 集体 熄火 巩万龙 发自 深圳 市场 A股 显现 众生相 小盘 题材股 严重 分化 基金 重仓股 整体 煤炭 有色 地产 ...
8,5,娱乐 首创 接吻 纪录 中国 版本 一刀 电影 量子 危机 中国 内地 抢先 公映 作品 导演 风筝 马克 福斯特 执导 一集 大战 皇家 赌场 第六代 詹姆斯...
9,0,科技 单反相机 首选 宾得 K x 长沙 热卖 C168 中关村 湖南 宾得 机器 弱光 对焦 能力 困扰 众多 P 用户 宾得 意识 推出 Kx 换用 传感器...
10,4,游戏 宝贝 梦网 怪物 攻城 刷装备 装备 护身符 一套 装备 走遍 宝贝 国度 玩家 渴望 黄装 装备 错过 怪物 攻城 装备 公式 几率 梦寐 黄装 怪物 ...
11,4,游戏 侠义 OL 买金 卖金 体验 交易 游戏 游戏币 发展 犹如 口袋 人民币 购买 件物品 侠义 途径 游戏币 一点 核心 一点 到达 肯定 级别 条件 副...
12,4,游戏 手机 网游 时空 全民 植树 极品 装备 三月 草长鹰 飞间 寒意 褪尽 绿色 气息 走来 春风 枝头 嫩芽 小草 时空 OL 大地 植树节 来临 时空 ...
13,1,财经 ETF 抢前 别冶 发自 北京 据悉 上证所 发展 ETF 工作 重点 上证所 举行 年度 新闻宣传 座谈会 上证所 理事长 耿亮 明确指出 产品 创新 ...
14,1,财经 华商 盛世 基金 收益 超过 王文清 截至 华商 盛世 成长 基金 收益率 40.11 跻身 晨星 三个 回报 晨星 数据 统计 截至 上周五 股票 配置...
15,4,游戏 豪侠 结拜 系统 受热捧 上线 豪侠 结拜 系统 推出 受到 众多 玩家 猛烈 追捧 梁山泊 忠义堂 引领 车水马龙 组队 经验 好友 忠义堂 结拜 人物...
16,3,体育 VS 队友 挑毛病 停摆 愿去 CBA 打球 北京 媒体 势利 第一场 替补 出场 拿下 詹姆斯 第二场 出手 得分 人影儿 不着 热火 巨头 配角 本赛...
17,1,财经 银河 基金 国金 证券 投研 能力 五星 评级 潘琦 国金 证券 发布 评级 报告 显示 银河 基金 荣获 投研 管理 能力 公司 综合 基本 实力 评价...
18,3,体育 詹韦 不惧 鲨鱼 绿军 添翼 皇帝 不会 计划 北京 热火 对决 鲨鱼 奥尼尔 两位 队友 对决 谈及 奥尼尔 不会 复出 主帅 答案 参加 系列赛 信心...
